Chain,Location Number,Location ID,State/ Province,Latitude,Longitude
A Wireless,92,A Wireless0092,CA,33.875988,-117.583832
A Wireless,93,A Wireless0093,CA,33.598648,-117.871997
A Wireless,94,A Wireless0094,CA,41.753994,-124.192623
A Wireless,95,A Wireless0095,CA,33.96935,-118.187794
A Wireless,96,A Wireless0096,CA,33.466481,-117.69524
A Wireless,97,A Wireless0097,CA,37.798894,-121.920196
A Wireless,98,A Wireless0098,CA,37.817812,-121.99665
A Wireless,99,A Wireless0099,CA,38.562035,-121.732659
A Wireless,100,A Wireless0100,CA,38.556151,-121.696227
A Wireless,101,A Wireless0101,CA,35.775985,-119.250601
Best Buy,349,Best Buy0349,CA,38.426171,-121.398346
Best Buy,352,Best Buy0352,CA,32.917907,-117.119131
Best Buy,364,Best Buy0364,CA,38.675655,-121.275338
Best Buy,391,Best Buy0391,CA,37.756951,-121.462509
Best Buy,392,Best Buy0392,CA,33.941517,-117.279705
Best Buy,393,Best Buy0393,CA,34.0891081,-118.3441443
Best Buy,396,Best Buy0396,CA,35.262125,-120.674328
Best Buy,437,Best Buy0437,CA,33.1817741,-117.3455811
Best Buy,438,Best Buy0438,CA,32.769687,-117.152698
Best Buy,499,Best Buy0499,CA,37.827398,-122.286753
Best Buy,528,Best Buy0528,CA,38.000072,-121.314337
Best Buy,529,Best Buy0529,CA,36.293274,-119.316881
Best Buy,649,Best Buy0649,CA,34.283975,-118.777163
Best Buy,660,Best Buy0660,CA,38.63785,-121.49599
Best Buy,685,Best Buy0685,CA,37.375542,-122.06324
Best Buy,764,Best Buy0764,CA,34.153285,-118.447928
Best Buy,774,Best Buy0774,CA,33.721212,-117.795075
Best Buy,775,Best Buy0775,CA,33.978338,-117.549824
Best Buy,797,Best Buy0797,CA,36.985244,-121.964857
Best Buy,838,Best Buy0838,CA,40.592627,-122.359414
Best Buy,845,Best Buy0845,CA,38.644189,-121.120095
Best Buy,846,Best Buy0846,CA,33.996635,-117.719794
Best Buy,847,Best Buy0847,CA,33.824798,-117.516828
Best Buy,851,Best Buy0851,CA,37.322876,-121.949578
Best Buy,854,Best Buy0854,CA,33.630598,-117.724929
Best Buy,856,Best Buy0856,CA,35.385433,-119.094424
Best Buy,871,Best Buy0871,CA,33.136266,-117.174362
Best Buy,872,Best Buy0872,CA,33.925568,-118.129244
Best Buy,873,Best Buy0873,CA,37.676251,-122.46465
Best Buy,884,Best Buy0884,CA,37.004746,-121.552209
Best Buy,947,Best Buy0947,CA,33.7904,-117.892262
Best Buy,1008,Best Buy1008,CA,38.364862,-121.965059
Best Buy,1011,Best Buy1011,CA,33.906416,-118.393994
Best Buy,1018,Best Buy1018,CA,34.114852,-117.836689
Best Buy,1019,Best Buy1019,CA,36.71763,-121.65803
Best Buy,1020,Best Buy1020,CA,33.707852,-116.28244
Best Buy,1021,Best Buy1021,CA,37.966675,-122.520968
Best Buy,1045,Best Buy1045,CA,37.423276,-122.097078
Best Buy,1046,Best Buy1046,CA,37.964019,-121.736123
Best Buy,1061,Best Buy1061,CA,36.665836,-121.813677
Best Buy,1076,Best Buy1076,CA,33.48394,-117.08094
Best Buy,1113,Best Buy1113,CA,32.769896,-115.534334
Go Wireless,169,Go Wireless0169,CA,35.355766,-119.09376
Go Wireless,178,Go Wireless0178,CA,35.629917,-117.669915
Go Wireless,182,Go Wireless0182,CA,33.555279,-117.177212
Go Wireless,183,Go Wireless0183,CA,33.482703,-117.09585
Go Wireless,184,Go Wireless0184,CA,35.400904,-119.09038
Go Wireless,185,Go Wireless0185,CA,32.737966,-117.056065
Home Depot,601,Home Depot0601,CA,33.885131,-117.524614
Home Depot,603,Home Depot0603,CA,33.725453,-117.795
Home Depot,606,Home Depot0606,CA,33.700617,-117.916503
Home Depot,607,Home Depot0607,CA,33.995814,-117.907985
Home Depot,608,Home Depot0608,CA,33.886126,-118.1019
Home Depot,609,Home Depot0609,CA,34.29523,-118.417085
Home Depot,610,Home Depot0610,CA,34.064979,-117.270313
Home Depot,611,Home Depot0611,CA,33.868195,-118.286883
Home Depot,612,Home Depot0612,CA,34.21876,-118.594174
Home Depot,614,Home Depot0614,CA,33.556954,-117.660304
Home Depot,615,Home Depot0615,CA,33.811067,-117.856403
Home Depot,616,Home Depot0616,CA,33.942996,-117.262541
Home Depot,618,Home Depot0618,CA,33.802184,-118.329818
Home Depot,620,Home Depot0620,CA,33.899434,-118.366595
Home Depot,622,Home Depot0622,CA,37.249147,-121.863085
Home Depot,625,Home Depot0625,CA,37.717749,-122.181755
Home Depot,627,Home Depot0627,CA,37.829014,-122.28364
Home Depot,628,Home Depot0628,CA,37.500077,-122.250775
Home Depot,629,Home Depot0629,CA,37.699809,-121.907787
Home Depot,630,Home Depot0630,CA,37.365389,-121.948721
Home Depot,632,Home Depot0632,CA,37.562895,-122.281359
Home Depot,633,Home Depot0633,CA,38.136929,-122.216511
Home Depot,634,Home Depot0634,CA,37.975108,-122.054361
Home Depot,635,Home Depot0635,CA,37.611744,-122.067006
Home Depot,636,Home Depot0636,CA,38.75242,-121.262047
Home Depot,637,Home Depot0637,CA,38.246516,-122.069593
Home Depot,638,Home Depot0638,CA,34.601676,-118.134929
Home Depot,639,Home Depot0639,CA,37.676773,-122.468207
Home Depot,640,Home Depot0640,CA,37.37548,-122.018589
Home Depot,641,Home Depot0641,CA,38.365847,-122.716209
Home Depot,642,Home Depot0642,CA,37.294211,-121.94134
Home Depot,643,Home Depot0643,CA,37.930254,-122.322522
Home Depot,644,Home Depot0644,CA,38.010961,-121.856682
Home Depot,645,Home Depot0645,CA,34.108443,-117.546843
Home Depot,647,Home Depot0647,CA,33.760386,-118.013013
Home Depot,648,Home Depot0648,CA,33.801712,-118.166349
Home Depot,649,Home Depot0649,CA,34.143404,-118.269753
Home Depot,650,Home Depot0650,CA,38.660916,-121.324809
Home Depot,651,Home Depot0651,CA,38.497238,-121.452679
Home Depot,652,Home Depot0652,CA,38.600614,-121.267983
Home Depot,653,Home Depot0653,CA,34.419222,-118.496969
Home Depot,654,Home Depot0654,CA,33.987022,-118.1338
Home Depot,657,Home Depot0657,CA,37.952906,-122.492929
Home Depot,658,Home Depot0658,CA,32.637544,-117.032376
Home Depot,659,Home Depot0659,CA,32.743619,-117.035609
Home Depot,660,Home Depot0660,CA,33.066273,-117.260651
Home Depot,662,Home Depot0662,CA,38.019795,-121.26646
Home Depot,663,Home Depot0663,CA,36.809709,-119.850402
Home Depot,664,Home Depot0664,CA,36.80901,-119.72897
Home Depot,665,Home Depot0665,CA,34.472383,-117.333151
Home Depot,667,Home Depot0667,CA,33.792907,-116.388276
Home Depot,668,Home Depot0668,CA,33.557047,-117.197706
