Location ID,Latitude,Longitude,cluster_label
Verizon Wireless00483,39.389282,-74.557114,83
Verizon Wireless00485,39.921085,-74.946449,83
Verizon Wireless00486,39.940746,-75.00698100000002,83
Verizon Wireless00491,39.727907,-75.65051,35
Verizon Wireless00493,40.29501,-74.684601,83
Verizon Wireless00496,40.010082,-75.29428100000001,35
Verizon Wireless00497,40.338363,-75.97289,35
Verizon Wireless00498,39.953026,-75.16918100000002,35
Verizon Wireless00499,40.01658,-75.67588,35
Verizon Wireless00502,40.089308,-75.38258,35
Verizon Wireless00504,40.629812,-75.483868,35
Verizon Wireless00505,39.951939,-75.158752,35
Verizon Wireless00506,40.244583,-75.243866,35
Verizon Wireless00511,40.114962,-75.285483,35
Verizon Wireless00513,39.93875300000001,-75.348901,35
Verizon Wireless00514,40.07095,-74.96528599999998,83
Verizon Wireless00517,43.032496,-77.441749,100
Verizon Wireless00527,43.211859,-77.71186800000002,100
Verizon Wireless00532,43.046391,-76.068764,42
Verizon Wireless00534,43.12207,-76.159897,42
Verizon Wireless00537,42.154408,-76.878785,42
Verizon Wireless00540,42.095968,-75.97756899999997,42
Verizon Wireless00548,43.080898,-75.320792,42
Verizon Wireless00554,43.001231,-78.822255,23
Verizon Wireless00556,42.955914,-78.696373,23
Verizon Wireless00557,42.908863,-78.747353,23
Verizon Wireless00559,42.728497,-73.846405,54
Verizon Wireless00561,42.6874115,-73.8512369,54
Verizon Wireless00567,42.771404,-78.81208000000002,23
Verizon Wireless00570,42.076846,-78.466532,23
Verizon Wireless00573,40.720454,-73.84571600000002,11
Verizon Wireless00575,40.780366,-73.53110500000003,11
Verizon Wireless00577,40.677846,-73.446635,11
Verizon Wireless00580,40.864466,-73.128642,11
Verizon Wireless00583,40.62676,-74.919002,83
Verizon Wireless00588,48.784398,-122.486387,9
Verizon Wireless00589,47.912437,-122.214539,9
Verizon Wireless00591,47.831735,-122.273485,9
Verizon Wireless00594,37.323437,-122.035339,66
Verizon Wireless00596,37.69801,-121.77155,93
Verizon Wireless00597,37.41963300000001,-122.093448,66
Verizon Wireless00598,37.70022,-121.907985,93
Verizon Wireless00600,37.717996,-122.180881,93
Verizon Wireless00602,37.69599,-121.92955,93
Verizon Wireless00603,21.293598,-157.842636,6
Verizon Wireless00606,19.699325,-155.063868,77
Verizon Wireless00608,47.777765,-122.343562,9
Verizon Wireless00610,47.714893,-117.41163600000002,56
Verizon Wireless00614,47.755413,-122.155198,9
Verizon Wireless00616,47.16613,-122.511581,9
Verizon Wireless00617,47.15790300000001,-122.293036,9
Verizon Wireless00623,47.458982,-122.261269,9
Verizon Wireless00624,47.217872,-122.467714,9
Verizon Wireless00625,47.220985,-122.466231,9
Verizon Wireless00627,37.829692,-122.28526200000002,93
Verizon Wireless00628,39.746944,-104.993904,10
Verizon Wireless00632,39.583897,-105.024925,10
A Wireless0001,31.31698,-86.498283,44
A Wireless0002,33.721737,-85.817406,123
A Wireless0003,34.343319,-86.503601,29
A Wireless0004,34.781296999999995,-86.92916600000002,29
A Wireless0005,32.579341,-85.496025,44
A Wireless0006,34.2173,-86.157524,123
A Wireless0007,34.16082,-85.71416500000002,123
A Wireless0008,32.818246,-86.607826,80
A Wireless0009,30.631335,-87.910527,65
A Wireless0010,32.495722,-87.850877,80
A Wireless0011,30.400209000000004,-87.682754,65
A Wireless0012,30.301174,-87.680916,65
A Wireless0013,34.453072,-86.94609100000002,29
A Wireless0014,33.844727,-87.253517,80
A Wireless0015,34.683277000000004,-86.736602,29
A Wireless0016,34.832928,-86.57150899999998,29
A Wireless0017,30.670105,-88.105789,65
A Wireless0018,31.48268,-87.33032,65
A Wireless0019,32.382478000000006,-86.188115,44
A Wireless0020,34.494633,-87.280253,29
A Wireless0021,34.744564000000004,-87.675064,29
A Wireless0022,32.635643,-85.424149,44
A Wireless0023,30.269541,-87.586694,65
A Wireless0024,34.495679,-85.849921,123
A Wireless0025,34.669953,-86.008847,29
A Wireless0026,35.070242,-92.46348,67
A Wireless0027,35.826912,-90.677132,27
A Wireless0028,33.305668,-111.89651200000002,33
A Wireless0029,35.176083,-111.669083,14
A Wireless0030,33.336571,-111.757072,33
A Wireless0031,33.552532,-112.185501,33
A Wireless0032,33.639675,-112.225905,33
A Wireless0033,33.377625,-112.173146,33
A Wireless0034,33.393838,-111.689811,33
A Wireless0035,31.529615000000003,-110.258413,60
A Wireless0036,33.384707,-111.966953,33
A Wireless0037,33.384707,-111.966953,33
A Wireless0038,32.163738,-110.940666,60
A Wireless0039,32.288788000000004,-110.978091,60
A Wireless0040,32.219864,-110.865997,60
A Wireless0041,32.675186,-114.625046,74
A Wireless0042,32.715809,-114.504219,74
A Wireless0043,37.768183,-122.233223,93
A Wireless0044,34.095787,-118.125309,39
A Wireless0045,33.575278999999995,-117.725616,75
A Wireless0046,34.184069,-118.159645,39
A Wireless0047,33.839467,-117.941541,75
A Wireless0048,40.437367,-122.290487,82
A Wireless0049,38.714489,-121.363953,21
A Wireless0050,38.7056816,-121.3269333,21
A Wireless0051,34.539322,-117.273239,1
A Wireless0052,34.52734,-117.219452,1
A Wireless0053,36.978541,-121.907893,66
A Wireless0054,34.126709000000005,-118.053619,75
A Wireless0056,34.135387,-118.052422,75
A Wireless0057,37.342827,-120.614577,5
A Wireless0058,38.90420200000001,-121.072838,21
A Wireless0059,38.934013,-121.092235,21
A Wireless0060,38.922973,-121.055979,21
A Wireless0061,35.349274,-119.123787,94
A Wireless0062,34.884312,-117.012764,1
A Wireless0063,33.967133000000004,-118.164726,75
A Wireless0064,37.512177,-122.293768,93
A Wireless0065,37.891663,-122.279068,93
A Wireless0066,34.070362,-118.402855,39
A Wireless0067,34.24362,-116.909055,1
A Wireless0068,38.91800300000001,-119.996666,86
A Wireless0069,33.917888,-117.886146,75
A Wireless0070,37.578241,-122.347603,93
A Wireless0071,34.154134,-118.6447,39
A Wireless0072,38.658085,-120.972208,21
A Wireless0073,37.288445,-121.933395,66
A Wireless0074,36.975979,-121.966133,66
A Wireless0075,33.127117,-117.253822,48
A Wireless0076,33.161976,-117.345062,48
A Wireless0077,37.695397,-122.051919,93
A Wireless0078,33.865326,-118.093135,75
A Wireless0079,34.237953000000005,-118.571716,39
A Wireless0080,39.760829,-121.844584,82
A Wireless0081,39.735889,-121.835628,82
A Wireless0082,34.032738,-117.689332,75
A Wireless0083,32.609097,-117.081375,48
A Wireless0084,32.646435,-116.965691,48
A Wireless0085,38.678409,-121.291945,21
A Wireless0086,38.951187,-122.623825,93
A Wireless0087,36.837575,-119.695496,5
A Wireless0088,37.673264,-122.466383,93
A Wireless0089,37.937267,-122.025039,93
A Wireless0090,37.96721,-122.06207,93
A Wireless0091,39.926853,-122.198021,82
A Wireless0092,33.875988,-117.583832,75
A Wireless0093,33.598648,-117.871997,75
A Wireless0094,41.753994,-124.192623,82
A Wireless0095,33.96935,-118.187794,39
A Wireless0096,33.466481,-117.69523999999998,75
A Wireless0097,37.798894,-121.920196,93
A Wireless0098,37.817812,-121.99665,93
A Wireless0099,38.562035,-121.732659,21
A Wireless0100,38.556151,-121.696227,21
A Wireless0101,35.775985,-119.250601,94
Best Buy0333,38.252062,-85.620494,18
Best Buy0335,38.138387,-85.682988,18
Best Buy0337,47.88936,-97.079616,84
Best Buy0338,35.206927,-106.655977,26
Best Buy0339,39.734814,-82.628716,85
Best Buy0340,30.676148,-88.119419,65
Best Buy0341,41.456995,-75.65114399999999,42
Best Buy0342,41.238903,-75.840767,42
Best Buy0343,41.640813,-70.98691600000002,20
Best Buy0344,40.966019,-74.075401,122
Best Buy0345,40.825514,-73.411449,11
Best Buy0346,37.093162,-94.472976,47
Best Buy0347,30.176724,-92.075738,117
Best Buy0349,38.426171,-121.398346,21
Best Buy0350,30.189586,-81.55184399999997,62
Best Buy0351,36.123741,-94.150457,47
Best Buy0352,32.917907,-117.119131,48
Best Buy0353,25.959646,-97.50588,59
Best Buy0354,29.787183,-95.72434,25
Best Buy0355,47.672626,-117.200427,56
Best Buy0356,38.790416,-77.513518,2
Best Buy0357,29.6496019,-95.1541515,25
Best Buy0358,36.064506,-115.038176,52
Best Buy0359,48.796308,-122.489541,9
Best Buy0360,44.444319,-73.109902,54
Best Buy0362,47.748485,-117.402843,56
Best Buy0363,32.441277,-93.717503,81
Best Buy0364,38.675655,-121.275338,21
Best Buy0365,32.81725,-83.71369399999998,8
Best Buy0366,47.151614,-122.295071,9
Best Buy0368,41.06903,-85.19938,40
Best Buy0369,40.80757,-77.89274,106
Best Buy0370,38.93024000000001,-94.40739,28
Best Buy0371,40.467354,-86.10808,49
