Location ID,Latitude,Longitude,cluster_label
Verizon Wireless01463,0.0,0.0,7
Verizon Wireless01468,0.0,0.0,7
Best Buy1090,18.422320000000006,-66.16284,24
Verizon Wireless01823,19.643803,-155.993515,77
Home Depot1704,19.690204,-156.017879,77
Verizon Wireless00606,19.699325,-155.06386799999999,77
Home Depot1703,20.876464000000002,-156.456941,77
Verizon Wireless00603,21.293598,-157.842636,6
Home Depot1701,21.317383,-157.873052,6
Best Buy0763,21.31794,-157.8744,6
Home Depot1706,21.329635,-158.071769,6
Best Buy0852,21.384298,-157.949163,6
Home Depot1702,21.395076,-157.974078,6
Verizon Wireless00675,21.396715,-157.976547,6
Home Depot1705,21.96327,-159.376073,6
Home Depot0207,25.587231,-80.365323,36
Home Depot0210,25.68469,-80.401547,36
Best Buy0552,25.687018,-80.3954,36
Best Buy0557,25.6921392,-80.3045885,36
Cell of Knoxville10504,25.7155045,-80.3676094,36
Home Depot0206,25.732239,-80.377874,36
Best Buy0553,25.734037,-80.31984200000002,36
Verizon Wireless00332,25.751832999999998,-80.258453,36
Cell of Knoxville10535,25.764254,-80.260537,36
Home Depot0277,25.765007,-80.243751,36
Cell of Knoxville10545,25.775557,-80.141611,36
Cell of Knoxville10529,25.7862729,-80.14106190000003,36
Best Buy0555,25.858083999999998,-80.32226800000002,36
Home Depot0202,25.865223999999998,-80.314231,36
Cell of Knoxville10541,25.869311,-80.206681,36
Home Depot0209,25.925470999999998,-80.290897,36
Home Depot0251,25.925522,-80.175174,36
Best Buy0353,25.959646,-97.50588,59
Best Buy0558,25.970925,-80.142055,36
Home Depot0285,25.994139,-80.204587,36
Cell of Knoxville10557,25.994875,-80.142637,36
Best Buy0559,26.006479000000002,-80.300832,36
Cell of Knoxville10565,26.00949,-80.231721,36
Cell of Knoxville10417,26.02552,-80.143513,36
Verizon Wireless00338,26.037933,-80.162384,36
Cell of Knoxville10429,26.052789,-80.140843,36
Home Depot0222,26.092666,-80.251129,36
Cell of Knoxville10320,26.130314000000002,-81.801401,51
Best Buy0551,26.14684,-80.31237,36
Best Buy0543,26.15329,-80.11932,36
Cell of Knoxville10318,26.156251,-81.797493,51
Home Depot0258,26.160416,-80.258556,36
Home Depot0249,26.165836,-80.166133,36
Home Depot0506,26.18361830000001,-98.18889,59
Verizon Wireless00398,26.184484,-98.232712,59
Cell of Knoxville10293,26.188976,-81.79947299999998,51
Best Buy0236,26.193260000000002,-98.20614,59
Home Depot0280,26.211712,-81.772878,51
Verizon Wireless00334,26.211733,-81.771967,51
Best Buy0524,26.22120300000001,-81.773783,51
Home Depot0284,26.241524,-80.25630699999998,36
Home Depot0208,26.260533000000002,-80.13694699999998,36
Home Depot0516,26.266639,-98.216316,59
Cell of Knoxville10440,26.316449,-80.077453,124
Home Depot0218,26.31669,-80.118666,124
Cell of Knoxville10454,26.350839,-80.088392,124
TCC19111,26.362369,-80.089731,124
Home Depot0204,26.366248,-80.200591,124
Best Buy0554,26.371086,-80.20145600000002,124
Best Buy0767,26.408219899999995,-81.8099485,51
Cell of Knoxville10292,26.423993,-81.904898,51
Cell of Knoxville10319,26.452118,-81.95199699999998,51
Cell of Knoxville10366,26.474032,-80.06595,124
Cell of Knoxville10391,26.514606,-80.063856,124
Home Depot0224,26.516272999999998,-80.077182,124
Cell of Knoxville10359,26.528821,-80.07356700000003,124
Home Depot0276,26.529401,-81.868911,51
Best Buy0808,26.532733,-80.089688,124
Cell of Knoxville10317,26.561059000000004,-81.957603,51
Best Buy0431,26.584603,-81.871778,51
Home Depot0205,26.619305999999998,-80.110116,124
Cell of Knoxville10286,26.636844,-81.8761,51
Home Depot0268,26.683987,-81.90736899999997,51
Verizon Wireless00177,26.7066881,-80.0933629,124
Best Buy0550,26.719329,-80.08779100000002,124
Home Depot0220,26.805145,-80.095478,124
Best Buy0688,26.840519,-80.09132,124
Home Depot0274,26.932736,-80.123572,124
Home Depot1855,26.932828000000004,-82.24201500000002,51
Home Depot0201,27.015156,-82.13558499999998,51
Home Depot0273,27.052953000000002,-82.394911,51
TCC19194,27.099821000000002,-82.42320699999998,51
Verizon Wireless00348,27.179906,-80.23892099999998,124
Best Buy0881,27.235848999999998,-80.26725,124
Home Depot0221,27.242328000000004,-80.271912,124
Cell of Knoxville10285,27.249871000000002,-82.53342099999998,113
Home Depot0255,27.282327000000002,-82.46986,113
Verizon Wireless00229,27.292347999999997,-82.530573,113
Best Buy0562,27.29668400000001,-82.530676,113
Cell of Knoxville10288,27.298602000000002,-82.508301,113
Cell of Knoxville10306,27.336275,-82.524213,113
Cell of Knoxville10389,27.410851,-80.333676,0
Home Depot0283,27.419927,-80.38582099999998,0
Home Depot0244,27.463802,-82.58495400000002,113
Cell of Knoxville10379,27.565433000000002,-80.377103,0
Best Buy0241,27.572329999999997,-99.500886,59
Home Depot0213,27.633296,-80.44697099999998,0
Cell of Knoxville10386,27.637968,-80.430145,0
Best Buy0816,27.639160999999998,-80.454184,0
Home Depot0526,27.71088,-97.38037800000001,59
Best Buy0235,27.71435,-97.38685,59
Home Depot0257,27.789951000000002,-82.66499,113
Best Buy0565,27.790365,-82.730488,113
TCC19605,27.812647,-80.425044,0
Home Depot0289,27.838255,-82.689578,113
Best Buy0560,27.94183,-82.32611,113
Home Depot0243,27.946306,-82.34079799999998,113
Best Buy0561,27.95817000000001,-82.504121,113
Home Depot0256,27.958665000000003,-82.50780300000002,113
Home Depot0203,27.962928,-81.62324,113
Best Buy0564,27.967281,-82.726822,113
Home Depot0279,28.030002000000003,-82.458239,113
Wireless Zone32103,28.035242999999998,-80.672157,0
Home Depot0247,28.045969,-82.739701,113
Best Buy0462,28.06372,-82.576624,113
Cell of Knoxville10126,28.063841999999998,-80.62147399999998,0
Home Depot0260,28.077194,-80.667468,0
Home Depot0248,28.078171,-81.962758,113
Best Buy0512,28.081705,-80.653942,0
Cell of Knoxville10115,28.089453999999996,-80.575022,0
Best Buy0563,28.094423,-81.97363299999998,113
Home Depot0245,28.098385999999998,-82.50094399999998,113
Home Depot0288,28.178143,-82.74228199999997,113
Best Buy0885,28.290503,-82.711477,113
Home Depot0238,28.301692,-82.704615,113
Home Depot0265,28.306867999999998,-81.430419,90
Home Depot0234,28.359023999999998,-80.700089,0
Best Buy0510,28.444162,-81.403837,90
Verizon Wireless00241,28.453671999999997,-81.4002,90
Home Depot0232,28.455136,-81.401894,90
Home Depot0281,28.49977100000001,-82.593953,113
Home Depot0261,28.549432,-81.478463,90
Best Buy0157,28.554585,-81.32868,90
Best Buy0571,28.557031,-81.204725,90
Home Depot0266,28.55881500000001,-81.305623,90
Cell of Knoxville10017,28.605891999999997,-81.299514,90
Cell of Knoxville10114,28.615609999999997,-80.819637,90
Cell of Knoxville10056,28.641147999999998,-81.322569,90
Home Depot0287,28.645796999999998,-81.230399,90
Home Depot0263,28.646657,-81.371797,90
TCC19683,28.653183000000002,-81.309384,90
Verizon Wireless00360,28.655884000000004,-81.238007,90
Best Buy0509,28.662215999999997,-81.407402,90
TCC19322,28.674988,-81.261256,90
Home Depot0262,28.6864,-81.330458,90
Home Depot0264,28.75775,-81.35664399999997,90
