"X2.max_k","wss"
2,116.61617058503
3,36.5207265393876
4,20.5459250708615
5,19.3248801451808
6,19.3212106433545
7,13.1508447776955
8,13.1429510360192
9,0.0392327121856396
10,13.1349655684461
11,0.064894445237481
12,13.0925221986817
13,13.0920476795008
14,0.0160000340984195
15,0.0245761740398051
16,0.0243641464129717
17,0.0140255038960035
18,0.0173064467323382
19,13.0810664521809
20,0.0134379130829202
21,0.00777984073375135
22,0.0132996926539034
23,0.0083278043835924
24,0.00795426981084301
25,0.00629015337100206
26,0.00774186369875927
27,0.00800166849575931
28,0.00702550528533452
29,7.41121292500073e-05
30,0.00699351449125119
31,4.49215530000473e-05
32,4.3818113333444e-06
33,0
